,code,FloatPopu,month
565,11200,16756166.62,2020-05-01
566,11210,20113268.79,2020-05-01
567,11220,33638343.5,2020-05-01
568,11230,50159206.46,2020-05-01
569,11240,37960286.15,2020-05-01
570,11250,23801464.18,2020-05-01
571,21000,312688.32,2020-05-01
572,22000,219947.56,2020-05-01
573,23010,884467.91,2020-05-01
574,23020,100327.81,2020-05-01
575,23030,698688.4,2020-05-01
576,23040,755135.73,2020-05-01
577,23050,1025587.16,2020-05-01
578,23060,1506491.74,2020-05-01
579,23070,981676.72,2020-05-01
580,23080,1611757.98,2020-05-01
581,23310,320340.56,2020-05-01
582,23320,51113.4,2020-05-01
583,24000,187448.45,2020-05-01
584,25000,515842.18,2020-05-01
585,26000,86395.47,2020-05-01
586,29000,218432.63,2020-05-01
587,31011,620313.66,2020-05-01
588,31012,617585.38,2020-05-01
589,31013,521963.66,2020-05-01
590,31014,998191.51,2020-05-01
591,31021,2480399.35,2020-05-01
592,31022,1197443.63,2020-05-01
593,31023,4242727.35,2020-05-01
594,31030,3409730.46,2020-05-01
595,31041,1269269.79,2020-05-01
596,31042,1754522.13,2020-05-01
597,31050,5340469.67,2020-05-01
598,31060,3693815.95,2020-05-01
599,31070,562010.21,2020-05-01
600,31080,318422.57,2020-05-01
601,31091,648904.87,2020-05-01
602,31092,750811.99,2020-05-01
603,31101,5212475.4,2020-05-01
604,31103,2209233.2,2020-05-01
605,31104,1417031.82,2020-05-01
606,31110,1240179.31,2020-05-01
607,31120,2615627.8,2020-05-01
608,31130,6158852.46,2020-05-01
609,31140,300913.76,2020-05-01
610,31150,1412508.86,2020-05-01
611,31160,1042551.34,2020-05-01
612,31170,781858.8,2020-05-01
613,31180,5147487.4,2020-05-01
614,31191,776569.4,2020-05-01
615,31192,1576569.03,2020-05-01
616,31193,1629195.4,2020-05-01
617,31200,1923034.21,2020-05-01
618,31210,570493.71,2020-05-01
619,31220,328940.77,2020-05-01
620,31230,2843697.17,2020-05-01
621,31240,1643905.05,2020-05-01
622,31250,1954059.27,2020-05-01
623,31260,1301129.49,2020-05-01
624,31270,826226.31,2020-05-01
625,31280,384241.26,2020-05-01
626,31350,128451.43,2020-05-01
627,31370,614226.24,2020-05-01
628,31380,952598.45,2020-05-01
629,32000,1897652.45,2020-05-01
630,33000,977958.83,2020-05-01
631,34000,1597127.69,2020-05-01
632,35000,489832.97,2020-05-01
633,36000,286378.73,2020-05-01
634,37000,475777.27,2020-05-01
635,38000,272360.67,2020-05-01
636,39000,224846.76,2020-05-01
637,11010,19904471.42,2020-06-01
638,11020,21559033.49,2020-06-01
639,11030,15023152.15,2020-06-01
640,11040,16875166.72,2020-06-01
641,11050,18171737.8,2020-06-01
642,11060,16930359.01,2020-06-01
643,11070,15024770.54,2020-06-01
644,11080,19176669.2,2020-06-01
645,11090,13009797.55,2020-06-01
646,11100,11853693.02,2020-06-01
647,11110,22104807.41,2020-06-01
648,11120,18553894.5,2020-06-01
649,11130,17311390.15,2020-06-01
650,11140,25192215.03,2020-06-01
651,11150,16101679.84,2020-06-01
652,11160,24019013.53,2020-06-01
653,11170,17466539.19,2020-06-01
654,11180,10707469.9,2020-06-01
655,11190,25949422.01,2020-06-01
656,11200,16368068.42,2020-06-01
657,11210,19660810.5,2020-06-01
658,11220,33754464.68,2020-06-01
659,11230,51519201.48,2020-06-01
660,11240,36970347.61,2020-06-01
661,11250,23030640.98,2020-06-01
662,21000,306483.72,2020-06-01
663,22000,220741.77,2020-06-01
664,23010,837748.91,2020-06-01
665,23020,101210.1,2020-06-01
666,23030,700521.51,2020-06-01
667,23040,754457.43,2020-06-01
668,23050,985239.71,2020-06-01
669,23060,1497394.54,2020-06-01
670,23070,958483.58,2020-06-01
671,23080,1606037.21,2020-06-01
672,23310,268439.79,2020-06-01
673,23320,44931.13,2020-06-01
674,24000,160348.16,2020-06-01
675,25000,463566.13,2020-06-01
676,26000,79005.49,2020-06-01
677,29000,212548.18,2020-06-01
678,31011,618322.19,2020-06-01
679,31012,604245.1,2020-06-01
680,31013,510253.65,2020-06-01
681,31014,1018798.63,2020-06-01
682,31021,2451609.32,2020-06-01
683,31022,1209279.34,2020-06-01
684,31023,4322937.19,2020-06-01
685,31030,3359367.25,2020-06-01
686,31041,1261726.84,2020-06-01
687,31042,1780499.82,2020-06-01
688,31050,5240993.4,2020-06-01
689,31060,3588659.71,2020-06-01
690,31070,545130.04,2020-06-01
691,31080,311441.39,2020-06-01
692,31091,636439.56,2020-06-01
693,31092,736492.96,2020-06-01
694,31101,5066924.26,2020-06-01
695,31103,2199955.64,2020-06-01
696,31104,1432673.61,2020-06-01
697,31110,1185147.86,2020-06-01
698,31120,2557279.78,2020-06-01
699,31130,5963634.85,2020-06-01
700,31140,292298.24,2020-06-01
701,31150,1382516.17,2020-06-01
702,31160,1050583.19,2020-06-01
703,31170,763685.34,2020-06-01
704,31180,5031445.06,2020-06-01
705,31191,736044.38,2020-06-01
706,31192,1574894.47,2020-06-01
707,31193,1626354.44,2020-06-01
708,31200,1808149.72,2020-06-01
709,31210,537049.8,2020-06-01
710,31220,310527.92,2020-06-01
711,31230,2768287.84,2020-06-01
